instances\test_1.txt,8,1-1;5-6;5-4;0-0;3-0
instances\test_10.txt,17,3-5;6-6;7-6;3-0;6-4;7-0
instances\test_11.txt,23,5-2;7-0;4-5;1-3;3-6;1-0;3-7
instances\test_12.txt,20,7-5;2-6;6-3;5-4;7-0;2-1;6-1
instances\test_13.txt,25,1-2;4-2;0-3;6-2;6-0;6-6;5-4
instances\test_14.txt,14,3-0;7-4;5-0;4-3;1-4;7-2;5-7
instances\test_15.txt,23,1-3;4-3;5-1;7-0;7-2;7-7;3-7
instances\test_16.txt,21,2-5;4-6;6-2;4-5;0-3;7-1;7-5
instances\test_17.txt,23,4-2;3-0;5-4;7-5;0-1;7-7;4-5
instances\test_18.txt,24,5-5;3-2;1-4;2-6;1-2;2-1;2-0
instances\test_19.txt,21,3-3;0-7;1-5;2-0;7-0;6-4;0-2
instances\test_2.txt,14,1-5;1-1;4-7;6-3;6-1
instances\test_20.txt,20,2-4;1-0;0-4;2-7;7-7;5-0;7-4
instances\test_21.txt,18,0-6;7-2;7-5;2-4;6-7;5-2;1-2;3-3
instances\test_22.txt,19,1-1;3-6;7-5;6-2;2-2;4-6;0-2;5-0
instances\test_24.txt,23,5-1;6-2;1-0;7-4;3-4;3-1;6-6;4-7
